Building Code,Building Name,TR_CAP,AVG_SIZE,LOC_CODE
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",38.0,6.608076923076923,PAR;381
384,UNIVERSITY BUSINESS SERVICES BUILDING,5.0,9.99,PAR;384
385,UNIVERSITY HEALTH SERVICES BUILDING,12.0,7.5128571428571425,PAR;385
387,UNIVERSITY CAMPUS SERVICES BUILDING,21.0,7.873999999999999,PAR;387
388,147-151 BARRY ST (AUSTRALIA-INDIA INSTITUTE),6.0,8.126666666666667,PAR;388
390,141 BARRY ST (POCHE CENTRE),3.0,3.33,PAR;390
394,139 BARRY ST (STATISTICAL CONSULTING CENTRE),2.0,3.52,PAR;394
400,VETERINARY PRECLINICAL SCIENCES BUILDING,13.0,10.658571428571426,PAR;400
401,NANCY MILLIS BUILDING,13.0,6.259999999999999,PAR;401
404,BIO21 BUSINESS INCUBATOR BUILDING,9.0,8.001428571428571,PAR;404
478,CUMNOCK HOUSE,0.0,3.9799999999999995,PAR;478
498,ERNIE CROPLEY SPORTS PAVILION,12.0,19.095,PAR;498
